#,dist(asec),prob.,link ref,link,identifier,typ,coord1 (ICRS J2000/2000),Mag U,Mag B,Mag V,Mag R,Mag I,spec. type,#bib,#not
3609,338.91,90,2020A&A...633A..99C,B,2MASS J02193928+5707303,*,02 19 39.2828298336 +57 07 30.345285828,~,~,16.2913,~,15.2170,F0.0V,5,0
3610,338.91,90,2020A&A...640A...1C,B,2MASS J02193928+5707303,*,02 19 39.2828298336 +57 07 30.345285828,~,~,16.2913,~,15.2170,F0.0V,5,0
3611,338.91,100,2010ApJS..186..191C,B,2MASS J02193928+5707303,*,02 19 39.2828298336 +57 07 30.345285828,~,~,16.2913,~,15.2170,F0.0V,5,0
3612,338.91,100,2018A&A...616A..10G,B,2MASS J02193928+5707303,*,02 19 39.2828298336 +57 07 30.345285828,~,~,16.2913,~,15.2170,F0.0V,5,0
3613,517.20,50,2020A&A...633A..99C,B,UCAC4 736-024566,*,02 17 56.0225991504 +57 10 02.879954976,~,~,16.1466,15.68,15.2354,A7.4V,4,0
3614,517.20,100,2010ApJS..186..191C,B,UCAC4 736-024566,*,02 17 56.0225991504 +57 10 02.879954976,~,~,16.1466,15.68,15.2354,A7.4V,4,0
3615,517.20,100,2018A&A...616A..10G,B,UCAC4 736-024566,*,02 17 56.0225991504 +57 10 02.879954976,~,~,16.1466,15.68,15.2354,A7.4V,4,0
3616,554.08,50,2020A&A...633A..99C,B,2MASS J02195753+5712292,*,02 19 57.5471543328 +57 12 29.333128572,~,~,16.355,~,15.2236,F3.9V,4,0
3617,554.08,100,2010ApJS..186..191C,B,2MASS J02195753+5712292,*,02 19 57.5471543328 +57 12 29.333128572,~,~,16.355,~,15.2236,F3.9V,4,0
3618,554.08,100,2018A&A...616A..10G,B,2MASS J02195753+5712292,*,02 19 57.5471543328 +57 12 29.333128572,~,~,16.355,~,15.2236,F3.9V,4,0
3619,479.99,100,2010ApJS..186..191C,B,2MASS J02180017+5706227,*,02 18 00.1816479024 +57 06 22.726528884,~,~,16.2440,~,15.244,F0.8V,3,0
3620,479.99,100,2018A&A...616A..10G,B,2MASS J02180017+5706227,*,02 18 00.1816479024 +57 06 22.726528884,~,~,16.2440,~,15.244,F0.8V,3,0
