#,dist(asec),prob.,link ref,link,identifier,typ,coord1 (ICRS J2000/2000),Mag U,Mag B,Mag V,Mag R,Mag I,spec. type,#bib,#not
1,1391.55,100,2010ApJ...722..605H,B,BD+56 472,*,02 16 53.0328642960 +56 52 15.329679492,9.49,10.03,9.1828,~,8.7606,B,17,0
2,965.70,100,2006ApJ...648..580H,S,BD+56 476,*,02 17 00.2382493536 +57 05 58.652526696,~,10.42,10.26,~,~,~,10,0
3,965.70,100,2012AJ....144..158M,B,BD+56 476,*,02 17 00.2382493536 +57 05 58.652526696,~,10.42,10.26,~,~,~,10,0
4,1099.67,100,2006ApJ...648..580H,S,BD+56 477,bC*,02 17 04.4992085976 +56 58 07.193831628,~,10.21,9.3310,~,8.9269,B,19,0
5,1099.67,100,2012AJ....144..158M,B,BD+56 477,bC*,02 17 04.4992085976 +56 58 07.193831628,~,10.21,9.3310,~,8.9269,B,19,0
6,1191.30,100,2010ApJ...722..605H,B,HD 13900,Be*,02 17 15.5690940480 +56 53 52.859380812,8.67,9.33,8.3548,~,8.0065,B1.0III,74,0
7,1191.30,100,2010ApJS..186..191C,B,HD 13900,Be*,02 17 15.5690940480 +56 53 52.859380812,8.67,9.33,8.3548,~,8.0065,B1.0III,74,0
8,1191.30,100,2012AJ....144..158M,B,HD 13900,Be*,02 17 15.5690940480 +56 53 52.859380812,8.67,9.33,8.3548,~,8.0065,B1.0III,74,0
9,1032.83,100,2012AJ....144..158M,B,BD+56 484,Be*,02 17 44.6582386752 +56 54 00.011357028,9.24,9.88,9.6420,~,8.1537,B1.0III,70,0
10,1069.97,100,2006ApJ...648..580H,S,BD+56 493,Be*,02 18 18.3546298920 +56 51 02.232343764,9.15,9.95,8.7847,~,8.4218,B1IV/Ve,62,0
11,1069.97,100,2012AJ....144..158M,B,BD+56 493,Be*,02 18 18.3546298920 +56 51 02.232343764,9.15,9.95,8.7847,~,8.4218,B1IV/Ve,62,0
12,939.02,100,2006ApJ...648..580H,S,BD+56 494,*,02 18 20.6945605176 +56 53 13.733964060,~,10.15,9.6223,~,9.1579,OB-,19,0
13,939.02,100,2012AJ....144..158M,B,BD+56 494,*,02 18 20.6945605176 +56 53 13.733964060,~,10.15,9.6223,~,9.1579,OB-,19,0
14,962.12,100,2006ApJ...648..580H,S,BD+56 503,*,02 18 34.9871903832 +56 52 18.567393816,~,10.46,10.0710,~,9.6771,A:,12,0
15,962.12,100,2012AJ....144..158M,B,BD+56 503,*,02 18 34.9871903832 +56 52 18.567393816,~,10.46,10.0710,~,9.6771,A:,12,0
16,1037.20,100,2006ApJ...648..580H,S,NGC 869 133,*,02 17 13.5430910808 +56 58 09.281830224,~,11.89,11.6165,~,11.3129,~,9,0
17,1037.20,100,2012AJ....144..158M,B,NGC 869 133,*,02 17 13.5430910808 +56 58 09.281830224,~,11.89,11.6165,~,11.3129,~,9,0
18,776.26,70,2020A&A...633A..99C,B,NGC 869 195,*,02 17 26.5108389840 +57 04 21.105312744,~,13.938,13.5631,~,13.1768,~,6,0
19,776.26,70,2020A&A...640A...1C,B,NGC 869 195,*,02 17 26.5108389840 +57 04 21.105312744,~,13.938,13.5631,~,13.1768,~,6,0
20,768.46,80,2020A&A...633A..99C,B,NGC 869 203,*,02 17 27.6978946824 +57 04 16.135387068,~,13.628,13.2584,~,12.8704,~,6,0
21,768.46,80,2020A&A...640A...1C,B,NGC 869 203,*,02 17 27.6978946824 +57 04 16.135387068,~,13.628,13.2584,~,12.8704,~,6,0
22,847.17,100,2010ApJS..186..191C,B,NGC 869 204,*,02 17 27.7586208648 +57 01 00.139580508,~,14.578,14.051,~,13.5370,A2.3V,4,0
23,785.61,70,2020A&A...633A..99C,B,NGC 869 216,*,02 17 29.9415211848 +57 02 39.908601276,~,16.458,15.792,~,15.023,A7.3V,6,0
24,785.61,70,2020A&A...640A...1C,B,NGC 869 216,*,02 17 29.9415211848 +57 02 39.908601276,~,16.458,15.792,~,15.023,A7.3V,6,0
25,785.61,100,2010ApJS..186..191C,B,NGC 869 216,*,02 17 29.9415211848 +57 02 39.908601276,~,16.458,15.792,~,15.023,A7.3V,6,0
26,789.71,70,2020A&A...633A..99C,B,NGC 869 217,*,02 17 29.9506920144 +57 02 29.935861116,~,15.546,15.0127,~,14.4367,A1.1V,6,0
27,789.71,70,2020A&A...640A...1C,B,NGC 869 217,*,02 17 29.9506920144 +57 02 29.935861116,~,15.546,15.0127,~,14.4367,A1.1V,6,0
28,789.71,100,2010ApJS..186..191C,B,NGC 869 217,*,02 17 29.9506920144 +57 02 29.935861116,~,15.546,15.0127,~,14.4367,A1.1V,6,0
29,794.11,80,2020A&A...633A..99C,B,NGC 869 242,*,02 17 33.0923631072 +57 01 30.843233112,~,12.695,12.406,~,~,~,5,0
30,794.11,80,2020A&A...640A...1C,B,NGC 869 242,*,02 17 33.0923631072 +57 01 30.843233112,~,12.695,12.406,~,~,~,5,0
31,744.85,70,2020A&A...633A..99C,B,NGC 869 247,*,02 17 36.2690293584 +57 02 26.538451152,~,15.814,15.283,~,14.705,A2.8V,6,0
32,744.85,70,2020A&A...640A...1C,B,NGC 869 247,*,02 17 36.2690293584 +57 02 26.538451152,~,15.814,15.283,~,14.705,A2.8V,6,0
33,744.85,100,2010ApJS..186..191C,B,NGC 869 247,*,02 17 36.2690293584 +57 02 26.538451152,~,15.814,15.283,~,14.705,A2.8V,6,0
34,724.47,100,2012AJ....144..158M,B,NGC 869 250,*,02 17 37.0444568952 +57 03 00.196935984,~,11.41,11.3422,~,11.0013,B4.0V,9,0
35,767.16,70,2020A&A...633A..99C,B,NGC 869 259,*,02 17 38.0441490264 +57 01 15.796257852,~,14.228,13.8104,~,13.3537,~,6,0
36,767.16,70,2020A&A...640A...1C,B,NGC 869 259,*,02 17 38.0441490264 +57 01 15.796257852,~,14.228,13.8104,~,13.3537,~,6,0
37,1072.22,100,2010ApJS..186..191C,B,NGC 869 261,*,02 17 37.9435050792 +56 53 51.530132796,14.29,16.272,15.623,~,14.7567,F0.5V,5,0
38,778.88,70,2020A&A...633A..99C,B,NGC 869 281,*,02 17 40.6081791744 +57 00 24.076692396,~,15.628,15.1194,~,14.5945,A1.8V,6,0
39,778.88,70,2020A&A...640A...1C,B,NGC 869 281,*,02 17 40.6081791744 +57 00 24.076692396,~,15.628,15.1194,~,14.5945,A1.8V,6,0
40,778.88,100,2010ApJS..186..191C,B,NGC 869 281,*,02 17 40.6081791744 +57 00 24.076692396,~,15.628,15.1194,~,14.5945,A1.8V,6,0
41,810.41,70,2020A&A...633A..99C,B,NGC 869 299,*,02 17 43.9131006840 +56 59 00.960075420,~,15.701,15.0130,~,14.2199,~,5,0
42,810.41,70,2020A&A...640A...1C,B,NGC 869 299,*,02 17 43.9131006840 +56 59 00.960075420,~,15.701,15.0130,~,14.2199,~,5,0
43,1049.63,100,2010ApJS..186..191C,B,NGC 869 301,*,02 17 43.6238448912 +56 53 45.430501380,~,15.662,15.100,~,14.441,A3.4V,4,0
44,829.41,100,2010ApJS..186..191C,B,NGC 869 310,*,02 17 45.4284827232 +56 58 20.192069964,~,15.668,15.046,~,14.3689,A5.4V,4,0
45,782.59,100,2010ApJS..186..191C,B,NGC 869 343,*,02 17 49.5865338864 +56 58 52.415359824,~,15.071,14.516,~,13.9574,A4.2V,4,0
46,632.46,70,2020A&A...633A..99C,B,NGC 869 366,*,02 17 53.2850412504 +57 02 11.485140180,~,14.771,14.2871,~,13.774,A0.0V,8,0
47,632.46,70,2020A&A...640A...1C,B,NGC 869 366,*,02 17 53.2850412504 +57 02 11.485140180,~,14.771,14.2871,~,13.774,A0.0V,8,0
48,632.46,100,2010ApJS..186..191C,B,NGC 869 366,*,02 17 53.2850412504 +57 02 11.485140180,~,14.771,14.2871,~,13.774,A0.0V,8,0
49,632.46,100,2018A&A...616A..10G,B,NGC 869 366,*,02 17 53.2850412504 +57 02 11.485140180,~,14.771,14.2871,~,13.774,A0.0V,8,0
50,863.99,70,2020A&A...633A..99C,B,NGC 869 372,*,02 17 53.9552400336 +56 56 33.452862000,~,12.672,12.3332,~,11.9845,~,5,0
51,863.99,70,2020A&A...640A...1C,B,NGC 869 372,*,02 17 53.9552400336 +56 56 33.452862000,~,12.672,12.3332,~,11.9845,~,5,0
52,725.51,50,2020A&A...633A..99C,B,NGC 869 385,*,02 17 57.7936615680 +56 59 07.141696548,~,13.496,13.196,~,~,~,3,0
53,917.26,60,2020A&A...633A..99C,B,NGC 869 387,*,02 17 57.9109937544 +56 55 06.511266264,~,13.812,13.4510,~,13.0277,~,4,0
54,708.25,50,2020A&A...633A..99C,B,NGC 869 389,*,02 17 58.5325217400 +56 59 25.060788060,~,13.482,13.1767,~,12.7506,~,4,0
55,864.31,100,2010ApJS..186..191C,B,NGC 869 401,*,02 18 00.0248105016 +56 55 58.285142868,~,14.991,14.552,~,14.079,A2.3V,4,0
56,734.25,60,2020A&A...633A..99C,B,NGC 869 405,*,02 18 00.8338108944 +56 58 34.185223380,~,12.945,12.6262,~,12.2825,~,4,0
57,625.51,100,2010ApJS..186..191C,B,NGC 869 419,*,02 18 02.6859684680 +57 00 47.613640465,~,13.499,13.168,~,12.776,B5.8V,10,0
58,625.51,100,2018A&A...616A..10G,B,NGC 869 419,*,02 18 02.6859684680 +57 00 47.613640465,~,13.499,13.168,~,12.776,B5.8V,10,0
59,625.51,100,2018A&A...618A..93C,B,NGC 869 419,*,02 18 02.6859684680 +57 00 47.613640465,~,13.499,13.168,~,12.776,B5.8V,10,0
60,625.51,100,2020A&A...633A..99C,B,NGC 869 419,*,02 18 02.6859684680 +57 00 47.613640465,~,13.499,13.168,~,12.776,B5.8V,10,0
61,625.51,100,2020A&A...640A...1C,B,NGC 869 419,*,02 18 02.6859684680 +57 00 47.613640465,~,13.499,13.168,~,12.776,B5.8V,10,0
62,647.44,100,2010ApJS..186..191C,B,NGC 869 427,*,02 18 03.3766744920 +57 00 11.297505384,~,~,14.7889,~,14.232,A0.7V,8,0
63,647.44,100,2018A&A...616A..10G,B,NGC 869 427,*,02 18 03.3766744920 +57 00 11.297505384,~,~,14.7889,~,14.232,A0.7V,8,0
64,647.44,100,2018A&A...618A..93C,B,NGC 869 427,*,02 18 03.3766744920 +57 00 11.297505384,~,~,14.7889,~,14.232,A0.7V,8,0
65,647.44,100,2020A&A...633A..99C,B,NGC 869 427,*,02 18 03.3766744920 +57 00 11.297505384,~,~,14.7889,~,14.232,A0.7V,8,0
66,647.44,100,2020A&A...640A...1C,B,NGC 869 427,*,02 18 03.3766744920 +57 00 11.297505384,~,~,14.7889,~,14.232,A0.7V,8,0
67,914.41,90,2020A&A...633A..99C,B,NGC 869 434,*,02 18 03.6547707900 +56 54 42.135030618,~,13.367,13.0548,~,12.6967,~,6,0
68,914.41,90,2020A&A...640A...1C,B,NGC 869 434,*,02 18 03.6547707900 +56 54 42.135030618,~,13.367,13.0548,~,12.6967,~,6,0
69,804.97,60,2020A&A...633A..99C,B,NGC 869 453,*,02 18 07.2974873928 +56 56 31.146527508,~,15.296,14.8223,~,14.3459,~,4,0
70,622.67,50,2020A&A...633A..99C,B,NGC 869 487,*,02 18 10.7347776312 +56 59 52.353546000,~,~,11.2010,~,10.9018,B1.8V,10,0
71,622.67,100,2006ApJ...648..580H,S,NGC 869 487,*,02 18 10.7347776312 +56 59 52.353546000,~,~,11.2010,~,10.9018,B1.8V,10,0
72,622.67,100,2018A&A...616A..10G,B,NGC 869 487,*,02 18 10.7347776312 +56 59 52.353546000,~,~,11.2010,~,10.9018,B1.8V,10,0
73,801.84,80,2020A&A...633A..99C,B,NGC 869 508,*,02 18 12.7820723736 +56 56 09.863209716,~,12.260,12.021,~,~,~,4,0
74,801.84,80,2020A&A...640A...1C,B,NGC 869 508,*,02 18 12.7820723736 +56 56 09.863209716,~,12.260,12.021,~,~,~,4,0
75,950.61,80,2020A&A...633A..99C,B,NGC 869 524,*,02 18 15.0535309344 +56 53 18.351558492,~,14.622,14.2402,~,13.8133,A0.0V,6,0
76,950.61,80,2020A&A...640A...1C,B,NGC 869 524,*,02 18 15.0535309344 +56 53 18.351558492,~,14.622,14.2402,~,13.8133,A0.0V,6,0
77,950.61,100,2010ApJS..186..191C,B,NGC 869 524,*,02 18 15.0535309344 +56 53 18.351558492,~,14.622,14.2402,~,13.8133,A0.0V,6,0
78,1010.36,100,2010ApJS..186..191C,B,NGC 869 525,*,02 18 14.8818670320 +56 52 14.939776776,~,14.784,14.294,~,13.7402,B8.9V,4,0
79,681.07,80,2020A&A...633A..99C,B,NGC 869 544,*,02 18 17.7204594984 +56 58 05.138585400,~,12.685,12.433,~,~,~,4,0
80,681.07,80,2020A&A...640A...1C,B,NGC 869 544,*,02 18 17.7204594984 +56 58 05.138585400,~,12.685,12.433,~,~,~,4,0
81,800.51,100,2010ApJS..186..191C,B,NGC 869 561,*,02 18 18.6788571264 +56 55 48.476923248,~,~,14.485,~,14.019,A2.0V,4,0
82,663.59,60,2020A&A...633A..99C,B,NGC 869 593,*,02 18 21.5593104931 +56 58 08.480928485,~,13.31,13.05,13.00,~,~,5,0
83,663.59,100,2018A&A...616A..10G,B,NGC 869 593,*,02 18 21.5593104931 +56 58 08.480928485,~,13.31,13.05,13.00,~,~,5,0
84,761.09,100,2010ApJS..186..191C,B,NGC 869 633,*,02 18 24.6209288280 +56 56 11.236450956,~,14.557,14.1547,~,13.671,A2.0V,4,0
85,640.53,100,2010ApJS..186..191C,B,NGC 869 817,*,02 18 44.0444608800 +56 57 31.837681620,~,13.093,12.6924,~,12.2065,B5.1V,4,0
86,760.21,100,2010ApJS..186..191C,B,NGC 869 818,*,02 18 44.1599424048 +56 55 30.439747560,~,15.225,14.7127,~,14.161,B8.4V,4,0
87,794.62,80,2020A&A...633A..99C,B,NGC 869 835,*,02 18 46.0328241360 +56 54 53.652220344,~,13.848,13.4837,~,13.0698,~,5,0
88,794.62,80,2020A&A...640A...1C,B,NGC 869 835,*,02 18 46.0328241360 +56 54 53.652220344,~,13.848,13.4837,~,13.0698,~,5,0
89,839.72,80,2020A&A...633A..99C,B,NGC 869 870,*,02 18 48.9527358816 +56 54 05.818774824,~,14.998,14.433,~,~,~,4,0
90,839.72,80,2020A&A...640A...1C,B,NGC 869 870,*,02 18 48.9527358816 +56 54 05.818774824,~,14.998,14.433,~,~,~,4,0
91,959.29,100,2010ApJS..186..191C,B,NGC 869 927,*,02 18 53.0195046048 +56 52 03.915938316,~,14.616,14.1909,~,13.7172,B9.0V,4,0
92,758.84,60,2020A&A...633A..99C,B,NGC 869 958,*,02 18 56.7956446944 +56 55 23.610408744,~,15.046,14.5774,~,14.0285,~,4,0
93,863.61,60,2020A&A...633A..99C,B,NGC 869 1003,*,02 18 59.6950601400 +56 53 38.924404080,~,15.076,14.4758,~,13.8326,A2.3V,5,0
94,863.61,100,2010ApJS..186..191C,B,NGC 869 1003,*,02 18 59.6950601400 +56 53 38.924404080,~,15.076,14.4758,~,13.8326,A2.3V,5,0
95,832.32,60,2020A&A...633A..99C,B,NGC 869 1065,*,02 19 04.6545167008 +56 54 11.942020220,~,13.508,13.1014,~,12.6443,~,5,0
96,725.23,100,2010ApJS..186..191C,B,NGC 869 1089,*,02 19 06.254 +56 56 00.43,~,15.330,14.765,~,14.117,A1.6V,4,0
97,803.94,60,2020A&A...633A..99C,B,NGC 869 1172,*,02 19 13.5186590592 +56 54 48.720497328,~,13.933,13.5106,~,13.0543,~,4,0
98,759.24,60,2020A&A...633A..99C,B,NGC 869 1212,*,02 19 18.0723240936 +56 55 41.340497592,~,11.658,11.3421,~,11.0405,~,7,0
99,759.24,100,2010ApJ...722..605H,B,NGC 869 1212,*,02 19 18.0723240936 +56 55 41.340497592,~,11.658,11.3421,~,11.0405,~,7,0
100,793.28,100,2010ApJS..186..191C,B,NGC 869 1246,*,02 19 23.8148756568 +56 55 17.987615184,~,15.178,14.664,~,14.151,A2.1V,4,0
101,910.73,100,2006ApJ...648..580H,S,NGC 869 1252,*,02 19 24.6476394576 +56 53 18.374874144,~,11.63,11.3442,~,10.9921,~,5,0
102,821.41,50,2020A&A...633A..99C,B,NGC 869 1269,*,02 19 26.9497694664 +56 54 56.123770932,~,14.182,13.7532,~,13.3095,~,4,0
103,1048.31,75,2015RAA....15.1197Z,S,NGC 869 1299,*,02 19 31.2534445464 +56 51 10.261663740,~,14.871,14.168,~,~,~,3,0
104,909.40,70,2020A&A...633A..99C,B,NGC 869 1319,*,02 19 33.4599122736 +56 53 40.779128580,~,12.751,12.4162,~,12.0636,~,5,0
105,909.40,70,2020A&A...640A...1C,B,NGC 869 1319,*,02 19 33.4599122736 +56 53 40.779128580,~,12.751,12.4162,~,12.0636,~,5,0
106,891.81,70,2020A&A...633A..99C,B,NGC 869 1344,*,02 19 36.7613117568 +56 54 09.146022804,~,12.796,12.5002,~,12.1716,~,5,0
107,891.81,70,2020A&A...640A...1C,B,NGC 869 1344,*,02 19 36.7613117568 +56 54 09.146022804,~,12.796,12.5002,~,12.1716,~,5,0
108,1229.52,100,2012AJ....144..158M,B,NGC 869 87,*,02 17 04.0059579792 +56 54 37.479717684,~,10.77,10.5864,~,10.1779,~,5,0
109,1087.99,100,2006ApJ...648..580H,S,NGC 869 1387,*,02 19 41.5696351344 +56 50 54.763028376,~,11.102,10.9084,~,10.5875,~,9,0
110,1087.99,100,2012AJ....144..158M,B,NGC 869 1387,*,02 19 41.5696351344 +56 50 54.763028376,~,11.102,10.9084,~,10.5875,~,9,0
111,878.51,100,2006ApJ...648..580H,S,LS V +56 14,*,02 17 46.8821911176 +56 57 01.718454060,~,11.275,11.049,~,~,OB-,13,0
112,878.51,100,2012AJ....144..158M,B,LS V +56 14,*,02 17 46.8821911176 +56 57 01.718454060,~,11.275,11.049,~,~,OB-,13,0
113,1717.08,75,2015RAA....15.1197Z,S,LAMOST J022107.48+564532.0,*,02 21 07.4752536000 +56 45 32.015495196,~,14.11,13.58,~,~,~,2,0
114,1059.06,75,2015RAA....15.1197Z,S,LAMOST J021657.88+570115.8,*,02 16 57.8876956488 +57 01 15.847649544,~,14.98,14.17,~,~,~,2,0
115,1024.95,100,2010ApJS..186..191C,B,2MASS J02180908+5652179,*,02 18 09.0926252112 +56 52 17.965270596,~,14.63,14.1916,~,13.7176,B8.8V,3,0
116,1151.21,100,2010ApJS..186..191C,B,2MASS J02200870+5651275,*,02 20 08.7184739328 +56 51 27.453022596,~,14.88,14.398,~,13.8546,B9.3V,3,0
117,889.18,100,2010ApJS..186..191C,B,2MASS J02184934+5653159,*,02 18 49.3501227528 +56 53 15.922697100,~,15.01,14.5971,~,14.111,A2.4V,3,0
118,575.98,100,2010ApJS..186..191C,B,2MASS J02183136+5659083,*,02 18 31.3740557784 +56 59 08.403739188,~,15.06,14.6241,~,14.085,B8.9V,4,0
119,575.98,100,2018A&A...616A..10G,B,2MASS J02183136+5659083,*,02 18 31.3740557784 +56 59 08.403739188,~,15.06,14.6241,~,14.085,B8.9V,4,0
120,971.53,100,2010ApJS..186..191C,B,2MASS J02174795+5654561,*,02 17 47.9494198128 +56 54 56.078617608,~,15.10,14.6188,~,14.144,A1.3V,3,0
121,1204.66,100,2010ApJS..186..191C,B,2MASS J02172401+5652329,*,02 17 24.0313053456 +56 52 32.865199392,~,15.26,14.7253,~,14.229,B9.6V,3,0
122,1094.49,100,2010ApJS..186..191C,B,2MASS J02200377+5652096,*,02 20 03.7847581728 +56 52 09.671277936,~,15.33,14.823,~,14.2426,A0.8V,3,0
123,577.31,100,2010ApJS..186..191C,B,2MASS J02183180+5659055,*,02 18 31.8009961056 +56 59 05.577552276,~,15.35,14.884,~,14.3085,B9.3V,4,0
124,577.31,100,2018A&A...616A..10G,B,2MASS J02183180+5659055,*,02 18 31.8009961056 +56 59 05.577552276,~,15.35,14.884,~,14.3085,B9.3V,4,0
125,660.36,100,2010ApJS..186..191C,B,2MASS J02185577+5657022,*,02 18 55.7745880392 +56 57 02.255184612,~,15.37,14.882,~,14.2987,B8.1V,3,0
126,670.09,100,2010ApJS..186..191C,B,2MASS J02182273+5657565,*,02 18 22.7424297144 +56 57 56.575372068,~,15.29,14.862,~,14.3806,A2.7V,4,0
127,670.09,100,2018A&A...616A..10G,B,2MASS J02182273+5657565,*,02 18 22.7424297144 +56 57 56.575372068,~,15.29,14.862,~,14.3806,A2.7V,4,0
128,941.08,80,2020A&A...633A..99C,B,2MASS J02192416+5652462,*,02 19 24.1692586968 +56 52 46.221021696,~,15.55,15.0512,~,14.4974,~,4,0
129,941.08,80,2020A&A...640A...1C,B,2MASS J02192416+5652462,*,02 19 24.1692586968 +56 52 46.221021696,~,15.55,15.0512,~,14.4974,~,4,0
130,651.04,90,2020A&A...633A..99C,B,2MASS J02182080+5658257,*,02 18 20.8121785728 +56 58 25.674883176,~,15.70,15.0846,~,14.3566,~,5,0
131,651.04,90,2020A&A...640A...1C,B,2MASS J02182080+5658257,*,02 18 20.8121785728 +56 58 25.674883176,~,15.70,15.0846,~,14.3566,~,5,0
132,651.04,100,2018A&A...616A..10G,B,2MASS J02182080+5658257,*,02 18 20.8121785728 +56 58 25.674883176,~,15.70,15.0846,~,14.3566,~,5,0
133,957.65,100,2010ApJS..186..191C,B,2MASS J02184279+5652127,*,02 18 42.7992838200 +56 52 12.668339280,~,15.70,15.094,~,14.3634,B8.0V,3,0
134,979.95,100,2010ApJS..186..191C,B,2MASS J02194578+5653041,*,02 19 45.7934071560 +56 53 04.117729308,~,15.70,15.175,~,14.5704,A1.9V,3,0
135,1153.11,100,2010ApJS..186..191C,B,2MASS J02170889+5655483,*,02 17 08.8918386120 +56 55 48.352801188,~,15.75,15.160,~,14.567,A4.5V,3,0
136,832.19,80,2020A&A...633A..99C,B,2MASS J02190277+5654111,*,02 19 02.7759986784 +56 54 11.183019408,~,16.04,15.228,~,14.2812,F0.3V,5,0
137,832.19,80,2020A&A...640A...1C,B,2MASS J02190277+5654111,*,02 19 02.7759986784 +56 54 11.183019408,~,16.04,15.228,~,14.2812,F0.3V,5,0
138,832.19,100,2010ApJS..186..191C,B,2MASS J02190277+5654111,*,02 19 02.7759986784 +56 54 11.183019408,~,16.04,15.228,~,14.2812,F0.3V,5,0
139,1335.60,75,2015RAA....15.1197Z,S,LAMOST J021832.42+564603.0,*,02 18 32.4292918296 +56 46 03.079490592,~,15.74,15.23,~,~,~,2,0
140,751.19,90,2020A&A...633A..99C,B,2MASS J02173717+5701592,*,02 17 37.1764729320 +57 01 59.126496384,~,15.83,15.2410,~,~,A3.5V,5,0
141,751.19,90,2020A&A...640A...1C,B,2MASS J02173717+5701592,*,02 17 37.1764729320 +57 01 59.126496384,~,15.83,15.2410,~,~,A3.5V,5,0
142,752.40,50,2020A&A...633A..99C,B,2MASS J02175011+5659314,*,02 17 50.1185498015 +56 59 31.465231322,~,15.81,15.2790,~,~,A4.5V,5,0
143,1289.91,100,2010ApJS..186..191C,B,2MASS J02170039+5653399,*,02 17 00.3935859024 +56 53 39.871622436,~,15.81,15.243,~,14.640,A4.3V,3,0
144,1107.15,100,2010ApJS..186..191C,B,2MASS J02174966+5652054,*,02 17 49.6764212448 +56 52 05.479069692,~,15.82,15.284,~,14.7294,A1.2V,3,0
145,721.63,100,2010ApJS..186..191C,B,2MASS J02181008+5657548,*,02 18 10.1185846272 +56 57 54.816929496,~,16.07,15.328,~,14.485,A9.3V,3,0
146,766.05,60,2020A&A...633A..99C,B,2MASS J02175360+5658436,*,02 17 53.6053952764 +56 58 43.573797433,~,15.90,15.340,~,14.7379,A5.0V,5,0
147,766.05,100,2010ApJS..186..191C,B,2MASS J02175360+5658436,*,02 17 53.6053952764 +56 58 43.573797433,~,15.90,15.340,~,14.7379,A5.0V,5,0
148,609.65,70,2020A&A...633A..99C,B,2MASS J02183290+5658276,*,02 18 32.9058680712 +56 58 27.686293356,~,16.01,15.444,~,14.778,A3.1V,6,0
149,609.65,70,2020A&A...640A...1C,B,2MASS J02183290+5658276,*,02 18 32.9058680712 +56 58 27.686293356,~,16.01,15.444,~,14.778,A3.1V,6,0
150,609.65,100,2010ApJS..186..191C,B,2MASS J02183290+5658276,*,02 18 32.9058680712 +56 58 27.686293356,~,16.01,15.444,~,14.778,A3.1V,6,0
151,609.65,100,2018A&A...616A..10G,B,2MASS J02183290+5658276,*,02 18 32.9058680712 +56 58 27.686293356,~,16.01,15.444,~,14.778,A3.1V,6,0
152,1086.52,100,2010ApJS..186..191C,B,2MASS J02193977+5650513,*,02 19 39.7809656208 +56 50 51.351167940,~,16.04,15.460,~,14.760,A5.9V,3,0
153,832.10,60,2020A&A...633A..99C,B,2MASS J02184276+5654194,*,02 18 42.7661246160 +56 54 19.456286760,~,16.14,15.485,~,14.795,A3.6V,4,0
154,832.10,100,2010ApJS..186..191C,B,2MASS J02184276+5654194,*,02 18 42.7661246160 +56 54 19.456286760,~,16.14,15.485,~,14.795,A3.6V,4,0
155,670.71,80,2020A&A...633A..99C,B,2MASS J02182464+5657488,*,02 18 24.6482961240 +56 57 48.795085296,~,16.21,15.551,~,14.861,A6.6V,6,0
156,670.71,80,2020A&A...640A...1C,B,2MASS J02182464+5657488,*,02 18 24.6482961240 +56 57 48.795085296,~,16.21,15.551,~,14.861,A6.6V,6,0
157,670.71,100,2010ApJS..186..191C,B,2MASS J02182464+5657488,*,02 18 24.6482961240 +56 57 48.795085296,~,16.21,15.551,~,14.861,A6.6V,6,0
158,670.71,100,2018A&A...616A..10G,B,2MASS J02182464+5657488,*,02 18 24.6482961240 +56 57 48.795085296,~,16.21,15.551,~,14.861,A6.6V,6,0
159,736.62,100,2010ApJS..186..191C,B,2MASS J02191329+5655566,*,02 19 13.2973307472 +56 55 56.661731472,~,16.15,15.534,~,14.808,A3.0V,3,0
160,883.59,100,2010ApJS..186..191C,B,2MASS J02173239+5658592,*,02 17 32.4038224536 +56 58 59.169688356,~,16.36,15.556,~,14.6475,F4.7V,3,0
161,613.24,100,2018A&A...616A..10G,B,2MASS J02181100+5700025,*,02 18 11.0156830224 +57 00 02.547706500,~,16.19,15.6020,~,14.8407,~,3,0
162,592.55,80,2020A&A...633A..99C,B,2MASS J02181877+5659427,*,02 18 18.7848213432 +56 59 42.727835508,~,16.29,15.6440,~,~,A6.7V,6,0
163,592.55,80,2020A&A...640A...1C,B,2MASS J02181877+5659427,*,02 18 18.7848213432 +56 59 42.727835508,~,16.29,15.6440,~,~,A6.7V,6,0
164,592.55,100,2018A&A...616A..10G,B,2MASS J02181877+5659427,*,02 18 18.7848213432 +56 59 42.727835508,~,16.29,15.6440,~,~,A6.7V,6,0
165,1060.06,100,2010ApJS..186..191C,B,2MASS J02193823+5651150,*,02 19 38.2428757608 +56 51 15.057875520,~,16.59,15.629,~,14.5651,G1.5V,3,0
166,944.34,60,2020A&A...633A..99C,B,2MASS J02184435+5652245,*,02 18 44.3527000200 +56 52 24.504541644,~,16.32,15.662,~,14.895,A7.9V,4,0
167,944.34,100,2010ApJS..186..191C,B,2MASS J02184435+5652245,*,02 18 44.3527000200 +56 52 24.504541644,~,16.32,15.662,~,14.895,A7.9V,4,0
168,691.43,60,2020A&A...633A..99C,B,2MASS J02181998+5657438,*,02 18 19.9903293168 +56 57 43.768899108,~,16.36,15.653,~,14.898,A9.2V,4,0
169,691.43,100,2010ApJS..186..191C,B,2MASS J02181998+5657438,*,02 18 19.9903293168 +56 57 43.768899108,~,16.36,15.653,~,14.898,A9.2V,4,0
170,981.29,100,2010ApJS..186..191C,B,2MASS J02193594+5652317,*,02 19 35.9406336864 +56 52 31.768123296,~,16.64,15.679,~,14.5738,F9.4V,3,0
171,614.57,100,2010ApJS..186..191C,B,2MASS J02184980+5657513,*,02 18 49.8096688368 +56 57 51.328343916,~,16.41,15.693,~,14.889,A6.5V,3,0
