-0.3500	-1.1500
-0.3400	-1.1327
-0.3300	-1.1132
-0.3200	-1.0896
-0.3100	-1.0600
-0.3000	-1.0267
-0.2900	-0.9932
-0.2800	-0.9594
-0.2700	-0.9255
-0.2600	-0.8915
-0.2500	-0.8573
-0.2400	-0.8231
-0.2300	-0.7889
-0.2200	-0.7546
-0.2100	-0.7203
-0.2000	-0.6860
-0.1900	-0.6518
-0.1800	-0.6178
-0.1700	-0.5838
-0.1600	-0.5500
-0.1500	-0.5163
-0.1400	-0.4825
-0.1300	-0.4487
-0.1200	-0.4149
-0.1100	-0.3811
-0.1000	-0.3475
-0.0900	-0.3139
-0.0800	-0.2804
-0.0700	-0.2471
-0.0600	-0.2139
-0.0500	-0.1810
-0.0400	-0.1482
-0.0300	-0.1157
-0.0200	-0.0835
-0.0100	-0.0516
0.0000	-0.0200
0.0100	0.0089
0.0200	0.0331
0.0300	0.0530
0.0400	0.0689
0.0500	0.0813
0.0600	0.0906
0.0700	0.0971
0.0800	0.1012
0.0900	0.1033
0.1000	0.1039
0.1100	0.1033
0.1200	0.1018
0.1300	0.1000
0.1400	0.0981
0.1500	0.0962
0.1600	0.0942
0.1700	0.0922
0.1800	0.0902
0.1900	0.0882
0.2000	0.0861
0.2100	0.0840
0.2200	0.0818
0.2300	0.0796
0.2400	0.0773
0.2500	0.0749
0.2600	0.0725
0.2700	0.0700
0.2800	0.0674
0.2900	0.0648
0.3000	0.0622
0.3100	0.0595
0.3200	0.0568
0.3300	0.0540
0.3400	0.0513
0.3500	0.0485
0.3600	0.0458
0.3700	0.0431
0.3800	0.0404
0.3900	0.0377
0.4000	0.0351
0.4100	0.0325
0.4200	0.0300
0.4300	0.0276
0.4400	0.0255
0.4500	0.0237
0.4600	0.0222
0.4700	0.0212
0.4800	0.0205
0.4900	0.0204
0.5000	0.0209
0.5100	0.0219
0.5200	0.0236
0.5300	0.0259
0.5400	0.0291
0.5500	0.0330
0.5600	0.0377
0.5700	0.0434
0.5800	0.0500
0.5900	0.0577
0.6000	0.0665
0.6100	0.0762
0.6200	0.0869
0.6300	0.0983
0.6400	0.1104
0.6500	0.1230
0.6600	0.1360
0.6700	0.1493
0.6800	0.1628
0.6900	0.1764
0.7000	0.1900
0.7100	0.2036
0.7200	0.2173
0.7300	0.2311
0.7400	0.2451
0.7500	0.2592
0.7600	0.2734
0.7700	0.2878
0.7800	0.3023
0.7900	0.3169
0.8000	0.3317
0.8100	0.3465
0.8200	0.3615
0.8300	0.3767
0.8400	0.3919
0.8500	0.4073
0.8600	0.4228
0.8700	0.4384
0.8800	0.4541
0.8900	0.4700
0.9000	0.4865
0.9100	0.5041
0.9200	0.5228
0.9300	0.5424
0.9400	0.5629
0.9500	0.5842
0.9600	0.6061
0.9700	0.6287
0.9800	0.6519
0.9900	0.6755
1.0000	0.6994
1.0100	0.7237
1.0200	0.7481
1.0300	0.7727
1.0400	0.7973
1.0500	0.8219
1.0600	0.8464
1.0700	0.8706
1.0800	0.8946
1.0900	0.9182
1.1000	0.9413
1.1100	0.9639
1.1200	0.9859
1.1300	1.0071
1.1400	1.0276
1.1500	1.0472
1.1600	1.0659
1.1700	1.0835
1.1800	1.1000
1.1900	1.1155
1.2000	1.1301
1.2100	1.1438
1.2200	1.1567
1.2300	1.1688
1.2400	1.1802
1.2500	1.1908
1.2600	1.2006
1.2700	1.2098
1.2800	1.2182
1.2900	1.2260
1.3000	1.2332
1.3100	1.2397
1.3200	1.2457
1.3300	1.2511
1.3400	1.2559
1.3500	1.2602
1.3600	1.2641
1.3700	1.2674
1.3800	1.2703
1.3900	1.2728
1.4000	1.2749
1.4100	1.2766
1.4200	1.2779
1.4300	1.2789
1.4400	1.2796
1.4500	1.2800
1.4600	1.2801
1.4700	1.2797
1.4800	1.2788
1.4900	1.2775
1.5000	1.2757
1.5100	1.2733
1.5200	1.2705
1.5300	1.2671
1.5400	1.2631
1.5500	1.2586
1.5600	1.2535
1.5700	1.2478
1.5800	1.2414
1.5900	1.2345
1.6000	1.2269
1.6100	1.2186
1.6200	1.2096
